path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_0.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.8190251588821411
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_143.85.wav,American Goldfinch,Spinus tristis,3,6,0.8066703081130981
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_152.15.wav,Purple Finch,Haemorhous purpureus,0,1,0.2679184079170227
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_153.85.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.5412843823432922
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_159.75.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.8875197768211365
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_164.35.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.7115328311920166
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_173.65.wav,American Goldfinch,Spinus tristis,0,3,0.8555680513381958
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_186.15.wav,Tufted Titmouse,Baeolophus bicolor,0,3,0.26975369453430176
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_189.65.wav,American Goldfinch,Spinus tristis,0,3,0.4519539475440979
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_194.65.wav,American Goldfinch,Spinus tristis,0,3,0.4643525183200836
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_198.25.wav,American Goldfinch,Spinus tristis,3,6,0.7502295970916748
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_211.45.wav,American Goldfinch,Spinus tristis,0,2,0.4690808355808258
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_213.45.wav,American Goldfinch,Spinus tristis,3,6,0.5719492435455322
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_219.55.wav,American Goldfinch,Spinus tristis,0,3,0.8882812261581421
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_227.05.wav,American Goldfinch,Spinus tristis,0,3,0.41039329767227173
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_234.25.wav,American Goldfinch,Spinus tristis,0,3,0.9391388297080994
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_243.85.wav,American Goldfinch,Spinus tristis,0,3,0.5824969410896301
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_259.05.wav,American Goldfinch,Spinus tristis,3,5,0.5024222731590271
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_264.45.wav,Tufted Titmouse,Baeolophus bicolor,0,3,0.30089569091796875
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_288.25.wav,White-throated Sparrow,Zonotrichia albicollis,0,3,0.6574091911315918
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_29.85.wav,Brown-headed Cowbird,Molothrus ater,0,3,0.4250035881996155
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_295.25.wav,White-throated Sparrow,Zonotrichia albicollis,0,3,0.837063729763031
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_298.35.wav,White-throated Sparrow,Zonotrichia albicollis,0,3,0.3574845790863037
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_35.15.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.44458168745040894
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_40.35.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.3697580099105835
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_45.35.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.3120797574520111
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_53.25.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.8574966192245483
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_61.95.wav,White-throated Sparrow,Zonotrichia albicollis,0,3,0.4817211925983429
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_66.45.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.8846593499183655
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_73.25.wav,House Finch,Haemorhous mexicanus,3,5,0.29346513748168945
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_78.25.wav,Brown-headed Cowbird,Molothrus ater,3,5,0.48766428232192993
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_9.350000000000001.wav,Brown-headed Cowbird,Molothrus ater,3,6,0.8984140753746033
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_90.45.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.4677838683128357
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210419_092400_0.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.45570284128189087
D:/uwin_sounds/split_audio\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210419_092400_10.650000000000002.wav,American Robin,Turdus migratorius,0,3,0.3078814744949341
