path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210420_061700_251.15.wav,Pacific Wren,Troglodytes pacificus,0,3,0.5460667610168457
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210420_061700_263.65.wav,American Robin,Turdus migratorius,0,3,0.5769729614257812
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210420_061700_273.25.wav,American Robin,Turdus migratorius,6,8,0.916098952293396
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210420_061700_283.65.wav,American Robin,Turdus migratorius,0,3,0.7742584347724915
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210420_061700_291.95.wav,American Robin,Turdus migratorius,3,5,0.7186785936355591
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210420_061700_297.15.wav,American Robin,Turdus migratorius,0,3,0.9510071873664856
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210420_061700_35.85.wav,Pacific Wren,Troglodytes pacificus,0,3,0.30459871888160706
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210420_061700_4.15.wav,Pacific Wren,Troglodytes pacificus,0,3,0.6541789174079895
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210420_061700_43.35.wav,Pacific Wren,Troglodytes pacificus,3,6,0.6254848837852478
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210420_061700_59.550000000000004.wav,Pacific Wren,Troglodytes pacificus,0,3,0.6051855683326721
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210420_061700_75.95.wav,Evening Grosbeak,Coccothraustes vespertinus,0,3,0.7248116135597229
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210420_061700_9.350000000000001.wav,Steller's Jay,Cyanocitta stelleri,0,3,0.7061066627502441
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210421_061700_0.wav,Dark-eyed Junco,Junco hyemalis,0,3,0.5773455500602722
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210421_061700_101.65.wav,Dark-eyed Junco,Junco hyemalis,0,3,0.7569516897201538
D:/uwin_sounds/split_audio\SEWA\Katie_Remine_-_FRD1_AP21_AM\20210421_061700_105.65.wav,Dark-eyed Junco,Junco hyemalis,0,3,0.8483555912971497
