path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_194.05.wav,Black-tailed Gnatcatcher,Polioptila melanura,3,6,0.6292544603347778
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_205.05.wav,Lesser Goldfinch,Spinus psaltria,0,3,0.35957109928131104
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_209.45.wav,Black-tailed Gnatcatcher,Polioptila melanura,0,3,0.7076650261878967
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_213.45.wav,Black-tailed Gnatcatcher,Polioptila melanura,3,6,0.6139519214630127
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_245.65.wav,Black-tailed Gnatcatcher,Polioptila melanura,0,3,0.7105135917663574
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_250.45.wav,Black-tailed Gnatcatcher,Polioptila melanura,3,5,0.8886805772781372
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_259.05.wav,Black-tailed Gnatcatcher,Polioptila melanura,0,3,0.8700240254402161
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_286.05.wav,Blue-gray Gnatcatcher,Polioptila caerulea,0,3,0.8090734481811523
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_290.65.wav,Blue-gray Gnatcatcher,Polioptila caerulea,0,3,0.8631285429000854
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_293.65.wav,Blue-gray Gnatcatcher,Polioptila caerulea,3,5,0.9863714575767517
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_299.45.wav,Blue-gray Gnatcatcher,Polioptila caerulea,0,3,0.7548038363456726
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_46.25.wav,Verdin,Auriparus flaviceps,0,2,0.347149521112442
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_48.25.wav,Verdin,Auriparus flaviceps,0,3,0.5797629356384277
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_78.85.wav,House Finch,Haemorhous mexicanus,3,5,0.5659998059272766
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_97.05.wav,Black-tailed Gnatcatcher,Polioptila melanura,0,1,0.969857394695282
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_02_PHAZ_V10\20210427_085500_98.95.wav,Black-tailed Gnatcatcher,Polioptila melanura,3,6,0.28867268562316895
