path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210416_092000_293.55.wav,Lesser Goldfinch,Spinus psaltria,0,3,0.6666082739830017
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210416_092000_4.850000000000001.wav,House Finch,Haemorhous mexicanus,0,3,0.4047272801399231
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210416_092000_43.25.wav,Lazuli Bunting,Passerina amoena,0,3,0.7457480430603027
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210416_092000_8.950000000000001.wav,Lazuli Bunting,Passerina amoena,0,3,0.6258106827735901
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210416_092000_95.25.wav,Lesser Goldfinch,Spinus psaltria,3,6,0.2757892310619354
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_121.35000000000001.wav,Oak Titmouse,Baeolophus inornatus,0,3,0.6015912890434265
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_128.25.wav,Red-shouldered Hawk,Buteo lineatus,0,3,0.5396132469177246
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_133.25.wav,American Pipit,Anthus rubescens,6,8,0.32499298453330994
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_14.05.wav,Red-shouldered Hawk,Buteo lineatus,0,3,0.553553581237793
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_143.55.wav,Oak Titmouse,Baeolophus inornatus,6,8,0.9064687490463257
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_151.95000000000002.wav,Oak Titmouse,Baeolophus inornatus,0,3,0.7099850177764893
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_155.75.wav,Oak Titmouse,Baeolophus inornatus,3,5,0.46822622418403625
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_171.85.wav,Oak Titmouse,Baeolophus inornatus,0,3,0.9846477508544922
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_178.25.wav,Oak Titmouse,Baeolophus inornatus,0,3,0.6858784556388855
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_185.45.wav,Oak Titmouse,Baeolophus inornatus,3,6,0.8031083941459656
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_201.15.wav,Oak Titmouse,Baeolophus inornatus,3,5,0.39422544836997986
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_206.35.wav,Yellow Warbler,Setophaga petechia,3,5,0.2606365382671356
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_238.25.wav,Red-shouldered Hawk,Buteo lineatus,0,3,0.2672154903411865
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_253.95.wav,Yellow Warbler,Setophaga petechia,0,3,0.3933435380458832
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_3.25.wav,Lazuli Bunting,Passerina amoena,3,6,0.5355873703956604
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_31.450000000000003.wav,Red-shouldered Hawk,Buteo lineatus,0,2,0.8319331407546997
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_33.75.wav,Lazuli Bunting,Passerina amoena,0,3,0.251709908246994
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_45.15.wav,Lazuli Bunting,Passerina amoena,3,5,0.6275134086608887
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_60.45.wav,Lazuli Bunting,Passerina amoena,0,3,0.6289125680923462
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_78.25.wav,American Pipit,Anthus rubescens,0,3,0.3221977651119232
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_84.35.wav,Red-shouldered Hawk,Buteo lineatus,0,3,0.5766401886940002
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_89.35.wav,American Pipit,Anthus rubescens,3,6,0.34118446707725525
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_96.25.wav,Dark-eyed Junco,Junco hyemalis,0,2,0.29439541697502136
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210417_092000_98.25.wav,Oak Titmouse,Baeolophus inornatus,0,3,0.29312387108802795
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_102.05.wav,MacGillivray's Warbler,Geothlypis tolmiei,0,3,0.3907935321331024
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_108.55.wav,Bullock's Oriole,Icterus bullockii,0,3,0.43708059191703796
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_113.25.wav,Lesser Goldfinch,Spinus psaltria,0,3,0.5994331240653992
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_127.15.wav,Belted Kingfisher,Megaceryle alcyon,3,5,0.2516110837459564
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_158.55.wav,Hooded Oriole,Icterus cucullatus,0,3,0.8662195801734924
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_178.55.wav,Hooded Oriole,Icterus cucullatus,0,3,0.3721962869167328
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_193.75.wav,Hooded Oriole,Icterus cucullatus,0,3,0.6166526675224304
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_199.05.wav,Hooded Oriole,Icterus cucullatus,0,3,0.7014994025230408
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_209.05.wav,Lesser Goldfinch,Spinus psaltria,0,3,0.3303491175174713
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_213.75.wav,Lesser Goldfinch,Spinus psaltria,0,3,0.5941202044487
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_234.65.wav,Lesser Goldfinch,Spinus psaltria,0,3,0.479829341173172
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_258.35.wav,Lawrence's Goldfinch,Spinus lawrencei,0,3,0.9446786046028137
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_265.75.wav,Dark-eyed Junco,Junco hyemalis,0,3,0.35998910665512085
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_274.35.wav,Ash-throated Flycatcher,Myiarchus cinerascens,0,3,0.8587653636932373
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_285.25.wav,Ash-throated Flycatcher,Myiarchus cinerascens,3,5,0.6666390895843506
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_290.85.wav,Lazuli Bunting,Passerina amoena,0,2,0.599246621131897
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_293.35.wav,Ash-throated Flycatcher,Myiarchus cinerascens,0,3,0.31930381059646606
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC03\20210418_092000_37.050000000000004.wav,Lazuli Bunting,Passerina amoena,0,3,0.44411322474479675
