"common_name","family","n","mu","sd"
"Mallard","Anatidae",55,0,0.0983525341549758
"Mourning Dove","Columbidae",88,0,0.137692413695594
"Nashville Warbler","Parulidae",63,0,0.114776624997893
"Northern Cardinal","Cardinalidae",3521,0,0.0564969050803668
"Northern Flicker","Picidae",29,0,0.0652521976241307
"Northern Mockingbird","Mimidae",11,0,0
"Northern Parula","Parulidae",20,0,0.088406572699853
"Northern Rough-winged Swallow","Hirundinidae",11,0,0.104592118600589
"Nuttall's Woodpecker","Picidae",10,0,0.102322183374683
"Oak Titmouse","Paridae",9,0,0.0662759959966896
"Osprey","Pandionidae",16,0,0
"Ovenbird","Parulidae",20,0,0
"Pacific Wren","Troglodytidae",107,0,0.106313647006584
"Pileated Woodpecker","Picidae",11,0,0.0323000741153755
"Pine Siskin","Fringillidae",77,0,0.0655623074670462
"Pine Warbler","Parulidae",26,0,0.0757075365117332
"Pinyon Jay","Corvidae",2,0,0
"Purple Finch","Fringillidae",19,0,0.066828209114961
"Purple Martin","Hirundinidae",2,0,0
"Red-bellied Woodpecker","Picidae",190,0,0.170172476001647
"Red-breasted Nuthatch","Sittidae",16,0,0.18098996257986
"Red-eyed Vireo","Vireonidae",62,0,0.0470198688127333
"Red-headed Woodpecker","Picidae",5,0,0
"Red-shouldered Hawk","Accipitridae",11,0,0
"Red-winged Blackbird","Icteridae",80,0,0.142059041723171
"Ring-billed Gull","Laridae",9,0,0.100315590699514
"Rock Pigeon","Columbidae",3,0,0.212006865669668
"Rose-breasted Grosbeak","Cardinalidae",65,0,0.120746509926169
"Ruby-crowned Kinglet","Regulidae",109,0,0.0582152491293809
"Savannah Sparrow","Emberizidae",13,0,0.0911185602753157
"Say's Phoebe","Tyrannidae",5,0,0
"Scarlet Tanager","Cardinalidae",72,0,0.0882897059161116
"Song Sparrow","Emberizidae",325,0,0.127236411082123
"Spotted Sandpiper","Scolopacidae",4,0,0
"Spotted Towhee","Emberizidae",34,0,0.128550137317474
"Summer Tanager","Cardinalidae",11,0,0.217461256297507
"Swainson's Warbler","Parulidae",7,0,0.0712713273908829
"Tufted Titmouse","Paridae",1415,0,0.104260230647535
"Warbling Vireo","Vireonidae",5,0,0.0399894966714356
"Western Kingbird","Tyrannidae",5,0,0
"Western Meadowlark","Icteridae",4,0,0
"White-breasted Nuthatch","Sittidae",38,0,0.145631920592346
"White-crowned Sparrow","Emberizidae",36,0,0.0759594070906241
"Wild Turkey","Phasianidae",28,0,0.0553175925272408
"Wood Duck","Anatidae",7,0,0.0170759027940796
"Wood Thrush","Turdidae",150,0,0.0200618432779588
"Worm-eating Warbler","Parulidae",3,0,0
"Wrentit","Sylviidae",13,0,0.00352741073876472
"Yellow-rumped Warbler","Parulidae",21,0,0.174365110413615
"Yellow-throated Vireo","Vireonidae",6,0,0.0204958832754551
"Yellow-throated Warbler","Parulidae",33,0,0.119574823072758
