site,city,LocationName.geometry1,LocationName.geometry2,water,trees,grass,flooded.vegetation,crops,scrub.shrub,built.area,bare.ground,snow.ice,clouds,green.space,city,easting,northing,utm.zone,longitude,latitude
1_Norman_Stone,National Capital,c(-77.06080724, 38.92155027),0,0.119721223,9.55E-05,0,0,0,0.880183305,0,0,0,0.119816695,National Capital,321346,4310090,18N,-77.06080724,38.92155027
3_Teddy_Roosevelt,National Capital,c(-77.06149986, 38.89486768),0.327848504,0.100954806,0.005442393,0.000795672,0,0.00162317,0.563335455,0,0,0,0.108020369,National Capital,321219,4307130,18N,-77.06149986,38.89486768
5_Bush_Hill,National Capital,c(-77.1298506, 38.79335624),0,0.002514882,0.00120969,0,0,0,0.996275427,0,0,0,0.003724573,National Capital,315028,4296000,18N,-77.1298506,38.79335624
6_Ft_Ward,National Capital,c(-77.10075019, 38.83037511),0,0.018434207,0.005444299,0,0,0,0.97586679,0.000254704,0,0,0.023878506,National Capital,317650,4300050,18N,-77.10075019,38.83037511
7_Dora_Kelly,National Capital,c(-77.13049648, 38.83280956),0.000891124,0.079819229,0,0,0,0,0.919289647,0,0,0,0.079819229,National Capital,315074,4300380,18N,-77.13049648,38.83280956
8_Lillian_ Carey,National Capital,c(-77.14072756, 38.84055146),0.049454221,0.08465137,0.000190943,0,0,0,0.865703466,0,0,0,0.084842313,National Capital,314206,4301260,18N,-77.14072756,38.84055146
9_Mason_District,National Capital,c(-77.17310673, 38.83202433),0,0.089164067,6.37E-05,0,0,0,0.910772267,0,0,0,0.089227733,National Capital,311373,4300380,18N,-77.17310673,38.83202433
ELMOD,Orange County,c(-117.7926793, 33.79908819),0,0,0.019928055,0,0,0.196033489,0.784038455,0,0,0,0.215961545,Orange County,426625,3740162,11N,-117.7926793,33.79908819
IRC02,Orange County,c(-117.7251042, 33.76797361),0.046565663,0.027022726,0.017251257,0,0.033038386,0.847889745,0.025845057,0.002387167,0,0,0.892163728,Orange County,432856,3736666,11N,-117.7251042,33.76797361
IRC03,Orange County,c(-117.7031347, 33.76084945),0,0.006303123,0,0,0,0.993696877,0,0,0,0,1,Orange County,434885,3735862,11N,-117.7031347,33.76084945
IRC07,Orange County,c(-117.6476364, 33.71975555),0,0.017792915,0,0,0,0.848680651,0.132348728,0.001177706,0,0,0.866473565,Orange County,439996,3731272,11N,-117.6476364,33.71975555
