path,mean_dB
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_0.wav,114.50315396069628
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_101.65.wav,108.64784833476148
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_103.25.wav,125.96588092525673
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_108.25.wav,128.1264421447077
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_113.25.wav,129.94775569632114
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_118.25.wav,132.50520493268857
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_12.050000000000004.wav,106.1479384917308
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_123.25.wav,133.1680598718281
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_130.75.wav,127.48190557509311
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_133.25.wav,132.99787911213582
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_138.25.wav,132.63099359710438
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_144.95.wav,129.2746576879846
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_148.25.wav,133.34673288669856
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_156.25.wav,102.63571325072381
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_159.75.wav,98.27128855421867
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_16.150000000000002.wav,107.3324478298203
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_165.15.wav,109.96373620032824
