path,mean_dB
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_0.wav,104.6780988
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_10.150000000000002.wav,104.9110054
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_105.25.wav,103.2197073
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_108.95.wav,104.6526201
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_113.25.wav,104.8755005
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_118.45.wav,107.3400173
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_126.65.wav,99.56925919
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_128.25.wav,106.715858
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_133.25.wav,109.1484765
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_138.25.wav,117.0359067
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_147.05.wav,109.8783084
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_15.950000000000003.wav,103.6414901
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_150.85.wav,110.6837852
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_157.05.wav,103.7155567
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_159.25.wav,110.4447141
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_165.65.wav,105.4960054
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_169.55.wav,105.3179932
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_173.65.wav,107.2453338
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_180.75.wav,105.3334734
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_184.75.wav,105.6346293
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_188.35.wav,109.0910696
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_194.75.wav,108.0892302
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_20.05.wav,103.8189308
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_200.95.wav,107.3033128
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_206.35.wav,104.2563002
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_210.85.wav,105.9848836
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_216.15.wav,102.7474174
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_219.35.wav,105.1194319
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_224.25.wav,107.0901986
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_231.05.wav,105.1777037
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_235.95.wav,104.9289309
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_24.25.wav,106.2157462
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_240.55.wav,105.3940831
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_246.95000000000002.wav,99.97060733
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_249.05.wav,104.7536601
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_254.75.wav,103.2066677
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_258.65.wav,105.1395713
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_264.75.wav,104.7153293
