path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_0\20210415_055900_0.wav,American Robin,Turdus migratorius,3,6,0.43560928106307983
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_135.75\20210415_055900_135.75.wav,American Robin,Turdus migratorius,0,3,0.5773535966873169
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_139.65\20210415_055900_139.65.wav,American Robin,Turdus migratorius,0,3,0.6902542114257812
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_139.65\20210415_055900_139.65.wav,American Robin,Turdus migratorius,0,3,0.6902542114257812
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_139.65\20210415_055900_139.65.wav,American Robin,Turdus migratorius,3,6,0.5340204834938049
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_146.25\20210415_055900_146.25.wav,American Robin,Turdus migratorius,0,3,0.4397136867046356
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_146.25\20210415_055900_146.25.wav,American Robin,Turdus migratorius,0,3,0.4397136867046356
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_146.25\20210415_055900_146.25.wav,American Robin,Turdus migratorius,3,5,0.30615660548210144
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_151.55\20210415_055900_151.55.wav,American Robin,Turdus migratorius,0,3,0.3684736490249634
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_155.55\20210415_055900_155.55.wav,American Robin,Turdus migratorius,3,6,0.4763597249984741
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_163.35\20210415_055900_163.35.wav,American Robin,Turdus migratorius,0,3,0.7954238057136536
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_163.35\20210415_055900_163.35.wav,American Robin,Turdus migratorius,0,3,0.7954238057136536
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_163.35\20210415_055900_163.35.wav,Purple Finch,Haemorhous purpureus,3,5,0.38899093866348267
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_176.25\20210415_055900_176.25.wav,American Robin,Turdus migratorius,0,3,0.35602933168411255
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_194.85\20210415_055900_194.85.wav,American Robin,Turdus migratorius,0,3,0.2757084369659424
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_228.75\20210415_055900_228.75.wav,American Robin,Turdus migratorius,0,3,0.46470293402671814
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_250.25\20210415_055900_250.25.wav,American Robin,Turdus migratorius,3,6,0.3238924741744995
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_278.45\20210415_055900_278.45.wav,American Robin,Turdus migratorius,0,3,0.7371445894241333
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_283.85\20210415_055900_283.85.wav,Osprey,Pandion haliaetus,0,3,0.34391680359840393
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_298.45\20210415_055900_298.45.wav,American Robin,Turdus migratorius,0,3,0.44576495885849
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210415_055900_83.75\20210415_055900_83.75.wav,American Robin,Turdus migratorius,0,3,0.33181291818618774
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_104.55\20210416_055900_104.55.wav,Northern Cardinal,Cardinalis cardinalis,3,6,0.30945873260498047
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_116.25\20210416_055900_116.25.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.36052656173706055
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_116.25\20210416_055900_116.25.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.36052656173706055
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_116.25\20210416_055900_116.25.wav,Northern Cardinal,Cardinalis cardinalis,3,5,0.2750215530395508
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_13.55\20210416_055900_13.55.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.6017996072769165
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_134.55\20210416_055900_134.55.wav,Northern Cardinal,Cardinalis cardinalis,3,6,0.8532624244689941
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_145.15\20210416_055900_145.15.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.25253576040267944
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_154.35\20210416_055900_154.35.wav,American Robin,Turdus migratorius,0,3,0.26027533411979675
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_158.95\20210416_055900_158.95.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.38207146525382996
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_193.65\20210416_055900_193.65.wav,Northern Cardinal,Cardinalis cardinalis,3,6,0.931816577911377
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_200.25\20210416_055900_200.25.wav,Northern Cardinal,Cardinalis cardinalis,3,5,0.5779631733894348
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_205.35\20210416_055900_205.35.wav,Northern Cardinal,Cardinalis cardinalis,3,6,0.3659220039844513
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_205.35\20210416_055900_205.35.wav,Northern Cardinal,Cardinalis cardinalis,3,6,0.3659220039844513
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_205.35\20210416_055900_205.35.wav,American Robin,Turdus migratorius,0,3,0.3747744858264923
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_21.550000000000004\20210416_055900_21.550000000000004.wav,Northern Cardinal,Cardinalis cardinalis,3,5,0.5404369831085205
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_239.35\20210416_055900_239.35.wav,Northern Cardinal,Cardinalis cardinalis,3,5,0.6519309878349304
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_250.05\20210416_055900_250.05.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.418685644865036
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_273.65\20210416_055900_273.65.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.36216336488723755
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_280.35\20210416_055900_280.35.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.8165165781974792
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_284.55\20210416_055900_284.55.wav,Northern Cardinal,Cardinalis cardinalis,3,4,0.5037623643875122
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_289.15\20210416_055900_289.15.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.7509555220603943
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_293.85\20210416_055900_293.85.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.9312092661857605
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_34.35\20210416_055900_34.35.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.6596339344978333
D:/uwin_sounds/TEMP\SLMO\Beth_Biro_-_H01_ARH1\20210416_055900_34.35\20210416_055900_34.35.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.6596339344978333
