path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_108.45\20210424_052500_108.45.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9545518159866333
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_108.45\20210424_052500_108.45.wav,Lucy's Warbler,Leiothlypis luciae,3,6,0.9067899584770203
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_114.95\20210424_052500_114.95.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9600135684013367
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_114.95\20210424_052500_114.95.wav,Lucy's Warbler,Leiothlypis luciae,3,5,0.9873148202896118
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_120.55\20210424_052500_120.55.wav,Mourning Dove,Zenaida macroura,0,3,0.9939391613006592
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_120.55\20210424_052500_120.55.wav,Lucy's Warbler,Leiothlypis luciae,3,6,0.9991152882575989
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_128.45\20210424_052500_128.45.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.979477047920227
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_128.45\20210424_052500_128.45.wav,Lucy's Warbler,Leiothlypis luciae,3,6,0.8349642157554626
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_128.45\20210424_052500_128.45.wav,Lucy's Warbler,Leiothlypis luciae,6,8,0.9907006025314331
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_136.55\20210424_052500_136.55.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9982151985168457
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_136.55\20210424_052500_136.55.wav,Lucy's Warbler,Leiothlypis luciae,3,4,0.9790929555892944
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_141.45\20210424_052500_141.45.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.991578221321106
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_141.45\20210424_052500_141.45.wav,Lucy's Warbler,Leiothlypis luciae,3,4,0.9904542565345764
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_146.05\20210424_052500_146.05.wav,Lucy's Warbler,Leiothlypis luciae,3,5,0.9985448122024536
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_146.05\20210424_052500_146.05.wav,Eurasian Collared-Dove,Streptopelia decaocto,0,3,0.3267087936401367
